lag_minutes_after_close,n,beta,t_stat_hac,p_value_hac,significant_at_5pct
1,109320,0.0034769512324105047,0.6937319640464396,0.4878503166081004,False
2,109320,0.006126649559012112,0.9547627499477016,0.3396976888419655,False
3,109319,-0.005614139541212054,-1.2558481687349943,0.2091710236051153,False
4,109319,-0.010465752954566539,-2.720913268404993,0.006510183984093595,True
5,109319,0.005619436318873002,1.4059608738976175,0.1597357433798774,False
6,109318,-0.0015348330976962905,-0.5465501941228559,0.5846877945366514,False
7,109318,-0.005589226051220638,-1.5703081965441903,0.11634342822001277,False
8,109318,-0.0005132629768694302,-0.16800614564752814,0.8665784442765084,False
9,109317,-0.004760034451936757,-1.5817984506253542,0.11369558884822419,False
10,109317,0.0019043604074696775,0.6146332143425219,0.5387969743745942,False
11,109317,-0.002557962061461819,-0.8365700777654005,0.4028342707214042,False
12,109316,-0.0024737925770906503,-0.7379641930403575,0.46053620844941157,False
13,109316,0.0034885656650496403,0.9558295752993796,0.3391583436370461,False
14,109316,-0.0023483083977575417,-0.7292423342853259,0.46585343947796076,False
15,109315,0.00390568500445549,1.0622062344089649,0.2881420701998142,False
16,109315,0.00089914077474784,0.2740091210545529,0.7840776122385652,False
17,109315,0.002247603981321066,0.7708126357904217,0.440817996496096,False
18,109314,0.0003610451010346617,0.1420537324073007,0.8870375636566625,False
19,109314,-0.005506802134158978,-1.7611459477976992,0.0782137038539857,False
20,109314,0.0033748740352055637,1.0984625490184141,0.27200256247903865,False
