variant,side,d,horizon_min,origins,fills,fill_rate,median_bars_to_fill,fills_dropped_no_forward_bar,mean_price_change,n_used,mean,median,std,t_hac,p_raw,ci95_low,ci95_high,family_size,p_bonferroni,p_holm,verdict_holm
A_14bars,buy,0.0005,15,5591,4040,0.7225898765873726,1.0,0,-0.0003258545229860521,4040,-0.00032585452298605213,-0.00019046103620040666,0.0036313987819016685,-5.7360661675248386,9.690081754343012e-09,-0.0004371982290033514,-0.00021451081696875285,18.0,1.7442147157817422e-07,1.7442147157817422e-07,significantly < 0 (adverse selection)
A_14bars,buy,0.0005,30,5591,4040,0.7225898765873726,1.0,0,-0.00023851685731745312,4040,-0.00023851685731745298,-0.00015604839477173504,0.005054846891199874,-3.0408071969088644,0.0023594486417930927,-0.00039225664089118247,-8.47770737437235e-05,18.0,0.042470075552275666,0.028313383701517113,significantly < 0 (adverse selection)
A_14bars,buy,0.0005,60,5591,4040,0.7225898765873726,1.0,0,-0.0002617890017835767,4040,-0.0002617890017835767,-0.00013148664701706503,0.006724729070516989,-2.466794215356484,0.013632867995306708,-0.00046979437179035685,-5.378363177679658e-05,18.0,0.24539162391552075,0.13632867995306708,consistent with zero
A_14bars,buy,0.001,15,5591,3165,0.5660883562868897,3.0,0,-0.00026899068527196253,3165,-0.00026899068527196264,-0.00011271923891975622,0.00387001820572514,-3.9410461861887844,8.11270021310031e-05,-0.00040276778866665797,-0.00013521358187726728,18.0,0.0014602860383580558,0.0012980320340960495,significantly < 0 (adverse selection)
A_14bars,buy,0.001,30,5591,3165,0.5660883562868897,3.0,0,-0.0001460834358129032,3165,-0.00014608343581290324,-5.172111972251425e-05,0.005409613113667064,-1.541587599857385,0.1231738407509473,-0.0003318163349486894,3.964946332288291e-05,18.0,1.0,0.7390430445056838,consistent with zero
A_14bars,buy,0.001,60,5591,3165,0.5660883562868897,3.0,0,-0.0001751594028657852,3165,-0.0001751594028657853,-5.170774780938192e-05,0.007164199623635083,-1.3645324002780421,0.17240006403099017,-0.00042675652840636215,7.643772267479154e-05,18.0,1.0,0.7390430445056838,consistent with zero
A_14bars,buy,0.002,15,5591,1820,0.3255231622250045,4.0,0,-0.00030193093516515864,1820,-0.0003019309351651586,-8.689562355995717e-05,0.004529702944301675,-2.9120031426729565,0.003591190223318677,-0.000505153460667142,-9.870840966317516e-05,18.0,0.06464142401973619,0.03950309245650545,significantly < 0 (adverse selection)
A_14bars,buy,0.002,30,5591,1820,0.3255231622250045,4.0,0,-3.462283454906413e-05,1820,-3.462283454906421e-05,0.00021956877768680716,0.006210538413265654,-0.23930050484346788,0.8108725739704583,-0.00031820249419313884,0.0002489568250950104,18.0,1.0,0.8263514029179153,consistent with zero
A_14bars,buy,0.002,60,5591,1820,0.3255231622250045,4.0,0,-0.0001559705909687926,1820,-0.00015597059096879255,3.9253228985347555e-05,0.008108777282827582,-0.8183178758445464,0.41317570145895766,-0.0005295446840231973,0.00021760350208561218,18.0,1.0,0.8263514029179153,consistent with zero
A_14bars,sell,0.0005,15,5591,3985,0.7127526381684851,2.0,0,0.0002975903501887675,3985,-0.00029759035018876744,-0.0001750199565437871,0.0037678208190332165,-5.006827456345397,5.533448736734909e-07,-0.0004140866927241525,-0.00018109400765338237,18.0,9.960207726122837e-06,9.406862852449346e-06,significantly < 0 (adverse selection)
A_14bars,sell,0.0005,30,5591,3985,0.7127526381684851,2.0,0,0.0003274802288162743,3985,-0.0003274802288162745,-0.00019685039370087587,0.005112870871907656,-3.9410330110001457,8.113145880514547e-05,-0.0004903464739576741,-0.00016461398367487488,18.0,0.0014603662584926184,0.0012980320340960495,significantly < 0 (adverse selection)
A_14bars,sell,0.0005,60,5591,3985,0.7127526381684851,2.0,1,0.00034309506056129103,3984,-0.0003430950605612912,-0.000219706284747323,0.006567236868041642,-3.221440300685318,0.0012754803192403926,-0.0005518421599742688,-0.00013434796114831352,18.0,0.02295864574632707,0.017802847555450165,significantly < 0 (adverse selection)
A_14bars,sell,0.001,15,5591,3166,0.5662672151672331,3.0,0,0.00022970579107653837,3166,-0.0002297057910765385,-7.248258679126707e-05,0.004033755661945173,-3.222306113975437,0.0012716319682464403,-0.00036942664148158086,-8.998494067149614e-05,18.0,0.022889375428435926,0.017802847555450165,significantly < 0 (adverse selection)
A_14bars,sell,0.001,30,5591,3166,0.5662672151672331,3.0,0,0.00022500705552400003,3166,-0.00022500705552400008,-4.958407970578893e-05,0.005441543573303912,-2.288570204761171,0.022104336719335264,-0.0004177098303436448,-3.230428070435536e-05,18.0,0.39787806094803474,0.19893903047401737,consistent with zero
A_14bars,sell,0.001,60,5591,3166,0.5662672151672331,3.0,1,0.00021877664220157293,3165,-0.0002187766422015728,-3.088135383833013e-05,0.006990535303292429,-1.729848828482054,0.08365728785578469,-0.00046666085708488,2.9107572681734395e-05,18.0,1.0,0.5856010149904929,consistent with zero
A_14bars,sell,0.002,15,5591,1811,0.3239134323019138,5.0,0,0.00024247063280533998,1811,-0.00024247063280533995,3.207536795035715e-05,0.004684064439840303,-2.225184630629802,0.026068846185772265,-0.0004560450183896754,-2.8896247221004535e-05,18.0,0.4692392313439008,0.20855076948617812,consistent with zero
A_14bars,sell,0.002,30,5591,1811,0.3239134323019138,5.0,0,0.00020661009789194653,1811,-0.00020661009789194648,5.691908383176347e-06,0.006139201802160655,-1.4523578089806906,0.14640214120395031,-0.0004854365615665044,7.221636578261145e-05,18.0,1.0,0.7390430445056838,consistent with zero
A_14bars,sell,0.002,60,5591,1811,0.3239134323019138,5.0,1,0.00024654602580995687,1810,-0.0002465460258099568,7.483409941094754e-05,0.007926493994655582,-1.2962213806079446,0.1948992254959998,-0.0006193451616804623,0.00012625311006054867,18.0,1.0,0.7390430445056838,consistent with zero
B_15bars,buy,0.0005,15,5591,4090,0.731532820604543,1.0,0,-0.0003183469309039243,4090,-0.0003183469309039243,-0.00018833999138090363,0.0036239681096875112,-5.681340845708378,1.3364284108231614e-08,-0.00042817311481313725,-0.00020852074699471138,18.0,2.4055711394816904e-07,2.4055711394816904e-07,significantly < 0 (adverse selection)
B_15bars,buy,0.0005,30,5591,4090,0.731532820604543,1.0,0,-0.0002386436842184542,4090,-0.00023864368421845433,-0.0001596018243321673,0.005050802224988568,-3.067204158785006,0.0021607122568739145,-0.0003911413977235945,-8.61459707133141e-05,18.0,0.03889282062373046,0.025928547082486972,significantly < 0 (adverse selection)
B_15bars,buy,0.0005,60,5591,4090,0.731532820604543,1.0,0,-0.00027098477816802496,4090,-0.00027098477816802486,-0.0001333017081973087,0.0067176326638451085,-2.5582759960210932,0.010519256732695732,-0.00047859731334225924,-6.337224299379047e-05,18.0,0.18934662118852316,0.10519256732695731,consistent with zero
