lag_minutes_after_close,n,beta,t_stat_hac,p_value_hac,significant_at_5pct
1,109617,0.0034815082031483383,0.695523394130266,0.48672735554575053,False
2,109616,0.006179946484026275,0.9645505222609546,0.3347699916118839,False
3,109616,-0.005569201388530717,-1.2475101371381239,0.21221050560753407,False
4,109616,-0.010413856354147507,-2.710847541821989,0.006711147605013865,True
5,109615,0.005515092570969663,1.3816137915314222,0.16709031703682453,False
6,109615,-0.0015750194631972414,-0.561403741497759,0.5745223339967882,False
7,109615,-0.005552612266097484,-1.5621856453191767,0.1182442612528317,False
8,109614,-0.0005709393260391794,-0.1870890429000024,0.8515908189778114,False
9,109614,-0.004921811899674749,-1.6377271952530779,0.10147861489963575,False
10,109614,0.001914659692045881,0.6188144449761465,0.5360386050847514,False
11,109613,-0.0025955122843090823,-0.8498892315696432,0.3953866730435086,False
12,109613,-0.0024963597385880072,-0.7457838184205638,0.4557980164430131,False
13,109613,0.003539137851744177,0.9710293501271327,0.33153366325073985,False
14,109612,-0.002401592390052868,-0.7467849458940384,0.4551933841115765,False
15,109612,0.0039289956085664995,1.0700697410044788,0.28458791807123884,False
16,109612,0.0009315247164473458,0.284245630024012,0.7762221492167937,False
17,109611,0.0021938070774781024,0.7533546318167589,0.451236837633478,False
18,109611,0.0004125668609539244,0.1625428860384505,0.8708783591021946,False
19,109611,-0.005401180932107578,-1.729448297353163,0.08372889236670235,False
20,109610,0.0034636227372083182,1.1290104860546983,0.25889341018979994,False
