month,days_covered__ETH_FDUSD,trades_per_day__ETH_FDUSD,quote_per_day__ETH_FDUSD,zero_trade_share__ETH_FDUSD,days_covered__ETH_USDT,trades_per_day__ETH_USDT,quote_per_day__ETH_USDT,zero_trade_share__ETH_USDT,ratio_trades_per_day__ETH_FDUSD_over_ETH_USDT,ratio_quote_per_day__ETH_FDUSD_over_ETH_USDT
2026-01,2.0,1112709.5,997546821.766571,0.0,2.0,9983464.0,2460602785.2048483,0.0,0.11145525240537753,0.40540749923743746
2026-02,28.0,323024.1785714286,114374638.42569235,0.004216269841269841,28.0,6695101.607142857,1420567159.6009479,0.0,0.048247838124936174,0.0805133623234127
2026-03,31.0,128986.06451612903,36462459.08976206,0.03046594982078853,31.0,4974347.0,855081520.5863882,0.0,0.025930250647196312,0.0426420852420682
2026-04,30.0,76434.0,20869962.049806867,0.08136574074074074,30.0,3219867.7,643469075.8470105,0.0,0.02373824241287926,0.03243351208810671
2026-05,31.0,47619.032258064515,15017891.102259323,0.13862007168458781,31.0,2386858.6774193547,582463619.2033392,0.0,0.019950503441431098,0.02578339763571834
2026-06,30.0,59788.6,15669527.2265758,0.065625,30.0,4048668.8333333335,612058313.9709365,0.0,0.014767471102538928,0.025601363250691605
2026-07,31.0,41910.967741935485,11095877.557520421,0.14081541218637994,31.0,2264512.7741935486,448106390.2240755,0.0,0.018507719726536347,0.0247617034695085
2026-08,31.0,52327.709677419356,14765895.354465226,0.21303763440860216,31.0,2376101.419354839,579687215.4249818,0.0,0.02202250680512931,0.025472176997452002
2026-09,19.0,71498.57894736843,25931685.58949316,0.08428362573099416,19.0,2495866.263157895,770245947.6822292,0.0,0.028646798910172716,0.03366676016605474
