lag_bars,lag_minutes,n,beta,correlation,t_stat_hac,p_value_hac,significant_at_5pct,family_size,p_bonferroni,p_holm,family_size_all_pairs,p_bonferroni_all_pairs,p_holm_all_pairs
1,5.0,22366,0.005172136393491754,0.00852678961142705,0.5704061687758293,0.5684022465729015,False,15,1.0,1.0,66,1.0,1.0
2,10.0,22366,-0.006884211525018317,-0.011360827843001233,-0.8331745708587149,0.404746281902547,False,15,1.0,1.0,66,1.0,1.0
3,15.0,22366,0.0016525630726886486,0.0031064349751378927,0.23000619863964303,0.8180869530220392,False,15,1.0,1.0,66,1.0,1.0
4,20.0,22365,0.009509677703485724,0.015677654837320143,1.3793057862908003,0.16780049325384716,False,15,1.0,1.0,66,1.0,1.0
5,25.0,22365,-0.015090033407594078,-0.02490277026676447,-2.2374158332259126,0.025259174660572703,True,15,0.37888761990859054,0.37888761990859054,66,1.0,1.0
6,30.0,22365,0.0014155203515550036,0.0026608535236249202,0.21490844240657642,0.8298387025913323,False,15,1.0,1.0,66,1.0,1.0
7,35.0,22364,0.008856132266260012,0.014600167796116384,1.3262236932493505,0.18476561349673015,False,15,1.0,1.0,66,1.0,1.0
8,40.0,22364,-0.0010505262405112084,-0.0017337639859531999,-0.15125345512878177,0.8797757841994762,False,15,1.0,1.0,66,1.0,1.0
9,45.0,22364,-0.007428981176737176,-0.013964712267168965,-1.3244206605811846,0.18536337667666314,False,15,1.0,1.0,66,1.0,1.0
10,50.0,22363,-0.00454429164566783,-0.00749162275036808,-0.6749541330047341,0.49970490627316744,False,15,1.0,1.0,66,1.0,1.0
11,55.0,22363,-0.01069891229920192,-0.017657657344421426,-1.4112626405042183,0.15816718597621682,False,15,1.0,1.0,66,1.0,1.0
12,60.0,22363,-0.010982538232270987,-0.020644373411299193,-1.9934865231716123,0.04620819782542534,True,15,0.6931229673813801,0.6007065717305294,66,1.0,1.0
13,65.0,22362,0.0003530766829397345,0.0005820759893691038,0.05654282790321447,0.954909378344091,False,15,1.0,1.0,66,1.0,1.0
14,70.0,22362,-0.00772497847936288,-0.01274974226137275,-1.1936196820855134,0.23262677133868437,False,15,1.0,1.0,66,1.0,1.0
15,75.0,22362,0.011173435988906355,0.021003316308431476,2.0289447397767018,0.04246391912101542,True,15,0.6369587868152313,0.5944948676942159,66,1.0,1.0
